GEOID,NAME,variable,estimate,moe,Hispanic_or_Latino,Two_or_more,Including_other_race,zip_pop,prop_His_Lat,prop_Two_more,prop_incl_other,prop_His_Lat_Two_more,prop_His_Lat_incl_other,prop_Two_more_incl_other,prop_His_Lat_Two_more_incl_other
60630,ZCTA5 60630,B03002_020,763,322,Yes,Two or more races,Including,2968,0.41576819407008087,1,0.28706199460916443,0.41576819407008087,0.25707547169811323,0.28706199460916443,0.25707547169811323
60630,ZCTA5 60630,B03002_021,471,320,Yes,Two or more races,Excluding,2968,0.41576819407008087,1,0.7129380053908356,0.41576819407008087,0.15869272237196766,0.7129380053908356,0.15869272237196766
60631,ZCTA5 60631,B03002_010,6,9,No,Two or more races,Including,882,0.7585034013605442,1,0.19387755102040816,0.7585034013605442,0.006802721088435374,0.19387755102040816,0.006802721088435374
60631,ZCTA5 60631,B03002_011,663,233,No,Two or more races,Excluding,882,0.7585034013605442,1,0.8061224489795918,0.7585034013605442,0.7517006802721088,0.8061224489795918,0.7517006802721088
60631,ZCTA5 60631,B03002_020,165,101,Yes,Two or more races,Including,882,0.24149659863945577,1,0.19387755102040816,0.24149659863945577,0.1870748299319728,0.19387755102040816,0.1870748299319728
60631,ZCTA5 60631,B03002_021,48,53,Yes,Two or more races,Excluding,882,0.24149659863945577,1,0.8061224489795918,0.24149659863945577,0.05442176870748299,0.8061224489795918,0.05442176870748299
60632,ZCTA5 60632,B03002_010,24,33,No,Two or more races,Including,2061,0.18825812712275594,1,0.5259582726831635,0.18825812712275594,0.011644832605531296,0.5259582726831635,0.011644832605531296
60632,ZCTA5 60632,B03002_011,364,248,No,Two or more races,Excluding,2061,0.18825812712275594,1,0.47404172731683647,0.18825812712275594,0.17661329451722466,0.47404172731683647,0.17661329451722466
60632,ZCTA5 60632,B03002_020,1060,315,Yes,Two or more races,Including,2061,0.8117418728772441,1,0.5259582726831635,0.8117418728772441,0.5143134400776322,0.5259582726831635,0.5143134400776322
60632,ZCTA5 60632,B03002_021,613,363,Yes,Two or more races,Excluding,2061,0.8117418728772441,1,0.47404172731683647,0.8117418728772441,0.29742843279961184,0.47404172731683647,0.29742843279961184
60633,ZCTA5 60633,B03002_010,0,17,No,Two or more races,Including,101,0.45544554455445546,1,0.5445544554455446,0.45544554455445546,0,0.5445544554455446,0
60633,ZCTA5 60633,B03002_011,46,39,No,Two or more races,Excluding,101,0.45544554455445546,1,0.45544554455445546,0.45544554455445546,0.45544554455445546,0.45544554455445546,0.45544554455445546
60633,ZCTA5 60633,B03002_020,55,61,Yes,Two or more races,Including,101,0.5445544554455446,1,0.5445544554455446,0.5445544554455446,0.5445544554455446,0.5445544554455446,0.5445544554455446
60633,ZCTA5 60633,B03002_021,0,17,Yes,Two or more races,Excluding,101,0.5445544554455446,1,0.45544554455445546,0.5445544554455446,0,0.45544554455445546,0
60634,ZCTA5 60634,B03002_010,0,26,No,Two or more races,Including,1452,0.23415977961432508,1,0.5365013774104683,0.23415977961432508,0,0.5365013774104683,0
60634,ZCTA5 60634,B03002_011,340,123,No,Two or more races,Excluding,1452,0.23415977961432508,1,0.4634986225895317,0.23415977961432508,0.23415977961432508,0.4634986225895317,0.23415977961432508
60634,ZCTA5 60634,B03002_020,779,297,Yes,Two or more races,Including,1452,0.7658402203856749,1,0.5365013774104683,0.7658402203856749,0.5365013774104683,0.5365013774104683,0.5365013774104683
60634,ZCTA5 60634,B03002_021,333,182,Yes,Two or more races,Excluding,1452,0.7658402203856749,1,0.4634986225895317,0.7658402203856749,0.22933884297520662,0.4634986225895317,0.22933884297520662
60636,ZCTA5 60636,B03002_010,0,23,No,Two or more races,Including,495,0.793939393939394,1,0.15757575757575756,0.793939393939394,0,0.15757575757575756,0
60636,ZCTA5 60636,B03002_011,393,199,No,Two or more races,Excluding,495,0.793939393939394,1,0.8424242424242424,0.793939393939394,0.793939393939394,0.8424242424242424,0.793939393939394
60636,ZCTA5 60636,B03002_020,78,65,Yes,Two or more races,Including,495,0.20606060606060606,1,0.15757575757575756,0.20606060606060606,0.15757575757575756,0.15757575757575756,0.15757575757575756
60636,ZCTA5 60636,B03002_021,24,30,Yes,Two or more races,Excluding,495,0.20606060606060606,1,0.8424242424242424,0.20606060606060606,0.048484848484848485,0.8424242424242424,0.048484848484848485
60637,ZCTA5 60637,B03002_010,72,54,No,Two or more races,Including,923,0.9035752979414952,1,0.13217768147345613,0.9035752979414952,0.0780065005417118,0.13217768147345613,0.0780065005417118
60637,ZCTA5 60637,B03002_011,762,210,No,Two or more races,Excluding,923,0.9035752979414952,1,0.8678223185265439,0.9035752979414952,0.8255687973997833,0.8678223185265439,0.8255687973997833
60637,ZCTA5 60637,B03002_020,50,36,Yes,Two or more races,Including,923,0.09642470205850487,1,0.13217768147345613,0.09642470205850487,0.05417118093174431,0.13217768147345613,0.05417118093174431
60637,ZCTA5 60637,B03002_021,39,26,Yes,Two or more races,Excluding,923,0.09642470205850487,1,0.8678223185265439,0.09642470205850487,0.04225352112676056,0.8678223185265439,0.04225352112676056
60638,ZCTA5 60638,B03002_010,54,47,No,Two or more races,Including,2093,0.2881032011466794,1,0.5699952221691352,0.2881032011466794,0.025800286669851888,0.5699952221691352,0.025800286669851888
60638,ZCTA5 60638,B03002_011,549,245,No,Two or more races,Excluding,2093,0.2881032011466794,1,0.43000477783086477,0.2881032011466794,0.2623029144768275,0.43000477783086477,0.2623029144768275
60638,ZCTA5 60638,B03002_020,1139,531,Yes,Two or more races,Including,2093,0.7118967988533206,1,0.5699952221691352,0.7118967988533206,0.5441949354992833,0.5699952221691352,0.5441949354992833
60638,ZCTA5 60638,B03002_021,351,235,Yes,Two or more races,Excluding,2093,0.7118967988533206,1,0.43000477783086477,0.7118967988533206,0.16770186335403728,0.43000477783086477,0.16770186335403728
60639,ZCTA5 60639,B03002_010,0,26,No,Two or more races,Including,2373,0.18668352296670881,1,0.4787189211967973,0.18668352296670881,0,0.4787189211967973,0
60639,ZCTA5 60639,B03002_011,443,185,No,Two or more races,Excluding,2373,0.18668352296670881,1,0.5212810788032027,0.18668352296670881,0.18668352296670881,0.5212810788032027,0.18668352296670881
60639,ZCTA5 60639,B03002_020,1136,383,Yes,Two or more races,Including,2373,0.8133164770332912,1,0.4787189211967973,0.8133164770332912,0.4787189211967973,0.4787189211967973,0.4787189211967973
60639,ZCTA5 60639,B03002_021,794,333,Yes,Two or more races,Excluding,2373,0.8133164770332912,1,0.5212810788032027,0.8133164770332912,0.33459755583649387,0.5212810788032027,0.33459755583649387
