County,State,variable,estimate,label
Dubois, Indiana,B19101_008,348,"$35,000 to $39,999"
Dubois, Indiana,B19101_009,488,"$40,000 to $44,999"
Dubois, Indiana,B19101_010,396,"$45,000 to $49,999"
Dubois, Indiana,B19101_011,1247,"$50,000 to $59,999"
Dubois, Indiana,B19101_012,1432,"$60,000 to $74,999"
Dubois, Indiana,B19101_013,2138,"$75,000 to $99,999"
Dubois, Indiana,B19101_014,1749,"$100,000 to $124,999"
Dubois, Indiana,B19101_015,603,"$125,000 to $149,999"
Dubois, Indiana,B19101_016,523,"$150,000 to $199,999"
Dubois, Indiana,B19101_017,422,"$200,000 or more"
Elkhart, Indiana,B19101_002,1963,"Less than $10,000"
Elkhart, Indiana,B19101_003,1298,"$10,000 to $14,999"
Elkhart, Indiana,B19101_004,1335,"$15,000 to $19,999"
Elkhart, Indiana,B19101_005,1795,"$20,000 to $24,999"
Elkhart, Indiana,B19101_006,2339,"$25,000 to $29,999"
Elkhart, Indiana,B19101_007,2298,"$30,000 to $34,999"
Elkhart, Indiana,B19101_008,2397,"$35,000 to $39,999"
Elkhart, Indiana,B19101_009,2353,"$40,000 to $44,999"
Elkhart, Indiana,B19101_010,2514,"$45,000 to $49,999"
Elkhart, Indiana,B19101_011,5734,"$50,000 to $59,999"
Elkhart, Indiana,B19101_012,7189,"$60,000 to $74,999"
Elkhart, Indiana,B19101_013,8846,"$75,000 to $99,999"
Elkhart, Indiana,B19101_014,4684,"$100,000 to $124,999"
Elkhart, Indiana,B19101_015,2977,"$125,000 to $149,999"
Elkhart, Indiana,B19101_016,2459,"$150,000 to $199,999"
Elkhart, Indiana,B19101_017,1846,"$200,000 or more"
Fayette, Indiana,B19101_002,419,"Less than $10,000"
Fayette, Indiana,B19101_003,286,"$10,000 to $14,999"
Fayette, Indiana,B19101_004,285,"$15,000 to $19,999"
Fayette, Indiana,B19101_005,268,"$20,000 to $24,999"
Fayette, Indiana,B19101_006,344,"$25,000 to $29,999"
Fayette, Indiana,B19101_007,282,"$30,000 to $34,999"
Fayette, Indiana,B19101_008,429,"$35,000 to $39,999"
Fayette, Indiana,B19101_009,389,"$40,000 to $44,999"
Fayette, Indiana,B19101_010,296,"$45,000 to $49,999"
Fayette, Indiana,B19101_011,552,"$50,000 to $59,999"
Fayette, Indiana,B19101_012,731,"$60,000 to $74,999"
Fayette, Indiana,B19101_013,1127,"$75,000 to $99,999"
Fayette, Indiana,B19101_014,580,"$100,000 to $124,999"
Fayette, Indiana,B19101_015,199,"$125,000 to $149,999"
Fayette, Indiana,B19101_016,137,"$150,000 to $199,999"
Fayette, Indiana,B19101_017,127,"$200,000 or more"
Floyd, Indiana,B19101_002,574,"Less than $10,000"
Floyd, Indiana,B19101_003,496,"$10,000 to $14,999"
Floyd, Indiana,B19101_004,529,"$15,000 to $19,999"
Floyd, Indiana,B19101_005,439,"$20,000 to $24,999"
Floyd, Indiana,B19101_006,591,"$25,000 to $29,999"
Floyd, Indiana,B19101_007,704,"$30,000 to $34,999"
Floyd, Indiana,B19101_008,868,"$35,000 to $39,999"
Floyd, Indiana,B19101_009,797,"$40,000 to $44,999"
Floyd, Indiana,B19101_010,646,"$45,000 to $49,999"
Floyd, Indiana,B19101_011,1500,"$50,000 to $59,999"
Floyd, Indiana,B19101_012,2405,"$60,000 to $74,999"
Floyd, Indiana,B19101_013,3052,"$75,000 to $99,999"
Floyd, Indiana,B19101_014,2362,"$100,000 to $124,999"
Floyd, Indiana,B19101_015,1523,"$125,000 to $149,999"
Floyd, Indiana,B19101_016,1818,"$150,000 to $199,999"
Floyd, Indiana,B19101_017,1351,"$200,000 or more"
Fountain, Indiana,B19101_002,121,"Less than $10,000"
Fountain, Indiana,B19101_003,147,"$10,000 to $14,999"
Fountain, Indiana,B19101_004,168,"$15,000 to $19,999"
Fountain, Indiana,B19101_005,99,"$20,000 to $24,999"
Fountain, Indiana,B19101_006,369,"$25,000 to $29,999"
Fountain, Indiana,B19101_007,226,"$30,000 to $34,999"
Fountain, Indiana,B19101_008,311,"$35,000 to $39,999"
Fountain, Indiana,B19101_009,203,"$40,000 to $44,999"
Fountain, Indiana,B19101_010,229,"$45,000 to $49,999"
Fountain, Indiana,B19101_011,526,"$50,000 to $59,999"
Fountain, Indiana,B19101_012,471,"$60,000 to $74,999"
Fountain, Indiana,B19101_013,849,"$75,000 to $99,999"
Fountain, Indiana,B19101_014,540,"$100,000 to $124,999"
Fountain, Indiana,B19101_015,161,"$125,000 to $149,999"
Fountain, Indiana,B19101_016,139,"$150,000 to $199,999"
Fountain, Indiana,B19101_017,139,"$200,000 or more"
Franklin, Indiana,B19101_002,184,"Less than $10,000"
Franklin, Indiana,B19101_003,130,"$10,000 to $14,999"
Franklin, Indiana,B19101_004,157,"$15,000 to $19,999"
Franklin, Indiana,B19101_005,401,"$20,000 to $24,999"
Franklin, Indiana,B19101_006,251,"$25,000 to $29,999"
Franklin, Indiana,B19101_007,334,"$30,000 to $34,999"
Franklin, Indiana,B19101_008,287,"$35,000 to $39,999"
Franklin, Indiana,B19101_009,273,"$40,000 to $44,999"
Franklin, Indiana,B19101_010,399,"$45,000 to $49,999"
Franklin, Indiana,B19101_011,659,"$50,000 to $59,999"
Franklin, Indiana,B19101_012,797,"$60,000 to $74,999"
Franklin, Indiana,B19101_013,1115,"$75,000 to $99,999"
Franklin, Indiana,B19101_014,720,"$100,000 to $124,999"
Franklin, Indiana,B19101_015,586,"$125,000 to $149,999"
Franklin, Indiana,B19101_016,392,"$150,000 to $199,999"
Franklin, Indiana,B19101_017,209,"$200,000 or more"
Fulton, Indiana,B19101_002,128,"Less than $10,000"
Fulton, Indiana,B19101_003,196,"$10,000 to $14,999"
Fulton, Indiana,B19101_004,133,"$15,000 to $19,999"
Fulton, Indiana,B19101_005,82,"$20,000 to $24,999"
Fulton, Indiana,B19101_006,210,"$25,000 to $29,999"
Fulton, Indiana,B19101_007,205,"$30,000 to $34,999"
Fulton, Indiana,B19101_008,317,"$35,000 to $39,999"
Fulton, Indiana,B19101_009,363,"$40,000 to $44,999"
Fulton, Indiana,B19101_010,367,"$45,000 to $49,999"
Fulton, Indiana,B19101_011,410,"$50,000 to $59,999"
Fulton, Indiana,B19101_012,672,"$60,000 to $74,999"
Fulton, Indiana,B19101_013,1116,"$75,000 to $99,999"
Fulton, Indiana,B19101_014,570,"$100,000 to $124,999"
Fulton, Indiana,B19101_015,148,"$125,000 to $149,999"
Fulton, Indiana,B19101_016,126,"$150,000 to $199,999"
Fulton, Indiana,B19101_017,65,"$200,000 or more"
Gibson, Indiana,B19101_002,166,"Less than $10,000"
Gibson, Indiana,B19101_003,186,"$10,000 to $14,999"
Gibson, Indiana,B19101_004,262,"$15,000 to $19,999"
Gibson, Indiana,B19101_005,360,"$20,000 to $24,999"
Gibson, Indiana,B19101_006,459,"$25,000 to $29,999"
Gibson, Indiana,B19101_007,500,"$30,000 to $34,999"
Gibson, Indiana,B19101_008,426,"$35,000 to $39,999"
Gibson, Indiana,B19101_009,489,"$40,000 to $44,999"
Gibson, Indiana,B19101_010,438,"$45,000 to $49,999"
Gibson, Indiana,B19101_011,831,"$50,000 to $59,999"
Gibson, Indiana,B19101_012,1132,"$60,000 to $74,999"
Gibson, Indiana,B19101_013,1620,"$75,000 to $99,999"
Gibson, Indiana,B19101_014,961,"$100,000 to $124,999"
Gibson, Indiana,B19101_015,619,"$125,000 to $149,999"
Gibson, Indiana,B19101_016,513,"$150,000 to $199,999"
Gibson, Indiana,B19101_017,315,"$200,000 or more"
Grant, Indiana,B19101_002,1067,"Less than $10,000"
Grant, Indiana,B19101_003,530,"$10,000 to $14,999"
Grant, Indiana,B19101_004,766,"$15,000 to $19,999"
Grant, Indiana,B19101_005,871,"$20,000 to $24,999"
Grant, Indiana,B19101_006,1054,"$25,000 to $29,999"
Grant, Indiana,B19101_007,995,"$30,000 to $34,999"
Grant, Indiana,B19101_008,1001,"$35,000 to $39,999"
Grant, Indiana,B19101_009,1177,"$40,000 to $44,999"
Grant, Indiana,B19101_010,749,"$45,000 to $49,999"
Grant, Indiana,B19101_011,1774,"$50,000 to $59,999"
Grant, Indiana,B19101_012,1963,"$60,000 to $74,999"
Grant, Indiana,B19101_013,2477,"$75,000 to $99,999"
Grant, Indiana,B19101_014,1472,"$100,000 to $124,999"
Grant, Indiana,B19101_015,617,"$125,000 to $149,999"
Grant, Indiana,B19101_016,522,"$150,000 to $199,999"
Grant, Indiana,B19101_017,266,"$200,000 or more"
Greene, Indiana,B19101_002,265,"Less than $10,000"
Greene, Indiana,B19101_003,267,"$10,000 to $14,999"
Greene, Indiana,B19101_004,292,"$15,000 to $19,999"
