GEOID,NAME,variable,estimate,moe,Sex,Age,HI_coverage,zip_pop,prop_sex,prop_age,prop_HI_cov,prop_sex_age,prop_sex_HI_cov,prop_age_HI_cov,prop_sex_age_HI_cov
60636,ZCTA5 60636,B27001_029,0,23,Male,75 years and over,No,32185,0.47248718347056085,0.084231784993009165,0.10579462482522914,0.031070374398011497,0.06751592356687898,0,0
60636,ZCTA5 60636,B27001_032,1165,227,Female,Under 6 years,Yes,32185,0.5275128165294392,0.07174149448500855,0.8942053751747708,0.03768836414478795,0.489234115271089,0.07003262389311792,0.036196986173683394
60636,ZCTA5 60636,B27001_033,48,66,Female,Under 6 years,No,32185,0.5275128165294392,0.07174149448500855,0.10579462482522914,0.03768836414478795,0.038278701258350166,0.0017088705918906323,0.001491377971104552
60636,ZCTA5 60636,B27001_035,2796,302,Female,6 to 18 years,Yes,32185,0.5275128165294392,0.17517477085598882,0.8942053751747708,0.08886127077831288,0.489234115271089,0.17203666304178966,0.08687276681684014
60636,ZCTA5 60636,B27001_036,64,36,Female,6 to 18 years,No,32185,0.5275128165294392,0.17517477085598882,0.10579462482522914,0.08886127077831288,0.038278701258350166,0.003138107814199161,0.0019885039614727356
60636,ZCTA5 60636,B27001_038,1077,283,Female,19 to 25 years,Yes,32185,0.5275128165294392,0.08771166692558645,0.8942053751747708,0.04004971259903682,0.489234115271089,0.0656517011029983,0.033462793226658384
60636,ZCTA5 60636,B27001_039,212,73,Female,19 to 25 years,No,32185,0.5275128165294392,0.08771166692558645,0.10579462482522914,0.04004971259903682,0.038278701258350166,0.02205996582258816,0.006586919372378437
60636,ZCTA5 60636,B27001_041,1520,224,Female,26 to 34 years,Yes,32185,0.5275128165294392,0.11110765884728911,0.8942053751747708,0.055615970172440576,0.489234115271089,0.08413857386981513,0.04722696908497748
60636,ZCTA5 60636,B27001_042,270,98,Female,26 to 34 years,No,32185,0.5275128165294392,0.11110765884728911,0.10579462482522914,0.055615970172440576,0.038278701258350166,0.026969084977473978,0.008389001087463105
60636,ZCTA5 60636,B27001_044,1909,249,Female,35 to 44 years,Yes,32185,0.5275128165294392,0.11660711511573714,0.8942053751747708,0.0659313344725804,0.489234115271089,0.0997359018176169,0.05931334472580395
60636,ZCTA5 60636,B27001_045,213,94,Female,35 to 44 years,No,32185,0.5275128165294392,0.11660711511573714,0.10579462482522914,0.0659313344725804,0.038278701258350166,0.016871213298120243,0.006617989746776448
