NAME,County,State,State_abb,Cases,Deaths,Population,case_fatality,death_rate,case_rate
"Edgar County, Illinois",Edgar County,Illinois,IL,18,0,17161,0,0,104.88899248295553
"Edwards County, Illinois",Edwards County,Illinois,IL,6,0,6395,0,0,93.82329945269743
"Effingham County, Illinois",Effingham County,Illinois,IL,48,1,34008,2.083333333333333,2.9404845918607387,141.14326040931547
"Fayette County, Illinois",Fayette County,Illinois,IL,39,3,21336,7.6923076923076925,14.060742407199102,182.78965129358832
"Ford County, Illinois",Ford County,Illinois,IL,33,1,12961,3.0303030303030303,7.715454054471105,254.60998379754648
"Franklin County, Illinois",Franklin County,Illinois,IL,79,0,38469,0,0,205.36016012893498
"Fulton County, Illinois",Fulton County,Illinois,IL,20,0,34340,0,0,58.24111822947001
"Gallatin County, Illinois",Gallatin County,Illinois,IL,23,0,4828,0,0,476.38773819386915
"Greene County, Illinois",Greene County,Illinois,IL,13,0,12969,0,0,100.23903153674146
"Grundy County, Illinois",Grundy County,Illinois,IL,226,5,51054,2.2123893805309733,9.79355192541231,442.66854702863634
"Hamilton County, Illinois",Hamilton County,Illinois,IL,11,0,8116,0,0,135.53474618038445
"Hancock County, Illinois",Hancock County,Illinois,IL,22,1,17708,4.545454545454546,5.647165123108199,124.23763270838039
"Hardin County, Illinois",Hardin County,Illinois,IL,9,0,3821,0,0,235.54043444124574
"Henderson County, Illinois",Henderson County,Illinois,IL,8,0,6646,0,0,120.37315678603672
"Henry County, Illinois",Henry County,Illinois,IL,146,1,48913,0.684931506849315,2.0444462617300103,298.4891542125815
"Iroquois County, Illinois",Iroquois County,Illinois,IL,201,5,27114,2.4875621890547266,18.44065796267611,741.3144500995795
"Jackson County, Illinois",Jackson County,Illinois,IL,434,19,56750,4.377880184331797,33.480176211453745,764.7577092511013
"Jasper County, Illinois",Jasper County,Illinois,IL,49,7,9610,14.285714285714285,72.84079084287201,509.8855359001041
"Jefferson County, Illinois",Jefferson County,Illinois,IL,138,17,37684,12.318840579710146,45.11198386583165,366.2031631461628
"Jersey County, Illinois",Jersey County,Illinois,IL,56,1,21773,1.7857142857142856,4.592844348505029,257.19928351628164
"Jo Daviess County, Illinois",Jo Daviess County,Illinois,IL,80,1,21235,1.25,4.709206498704968,376.73651989639745
"Johnson County, Illinois",Johnson County,Illinois,IL,42,0,12417,0,0,338.24595312877506
"Kane County, Illinois",Kane County,Illinois,IL,8481,293,532403,3.4547812757929486,55.033499059922654,1592.9662304682731
"Kankakee County, Illinois",Kankakee County,Illinois,IL,1534,66,109862,4.3024771838331155,60.075367278949955,1396.2971728168066
"Kendall County, Illinois",Kendall County,Illinois,IL,1151,21,128990,1.8245004344048652,16.280331808667338,892.3172338941004
"Knox County, Illinois",Knox County,Illinois,IL,199,1,49699,0.5025125628140703,2.0121129197770578,400.41047103563454
"Lake County, Illinois",Lake County,Illinois,IL,11079,435,696535,3.926347143243975,62.45199451570991,1590.5876948035632
"LaSalle County, Illinois",LaSalle County,Illinois,IL,362,18,108669,4.972375690607735,16.564061507881732,333.1216814362882
"Lawrence County, Illinois",Lawrence County,Illinois,IL,30,0,15678,0,0,191.35093761959433
"Lee County, Illinois",Lee County,Illinois,IL,120,2,34096,1.6666666666666667,5.865790708587517,351.94744251525105
"Livingston County, Illinois",Livingston County,Illinois,IL,63,2,35648,3.1746031746031744,5.6104129263913824,176.72800718132856
"Logan County, Illinois",Logan County,Illinois,IL,57,0,28618,0,0,199.175344188972
"McDonough County, Illinois",McDonough County,Illinois,IL,119,15,29682,12.605042016806722,50.5356781888013,400.91638029782354
"McHenry County, Illinois",McHenry County,Illinois,IL,2559,110,307774,4.298554122704181,35.74051089435755,831.4542488969179
"McLean County, Illinois",McLean County,Illinois,IL,418,15,171517,3.588516746411483,8.745488785368215,243.70762081892755
"Macon County, Illinois",Macon County,Illinois,IL,288,22,104009,7.638888888888889,21.15201569094982,276.89911449970674
"Macoupin County, Illinois",Macoupin County,Illinois,IL,100,3,44926,3,6.677647687308018,222.5882562436006
"Madison County, Illinois",Madison County,Illinois,IL,1604,71,262966,4.42643391521197,26.99968817261547,609.9647863221862
"Marion County, Illinois",Marion County,Illinois,IL,97,0,37205,0,0,260.71764547775837
